taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
5400,2016-12-16 08:45:00,2016-12-16 09:00:00,300,0,,787,8,8,5.25,2.00,0.00,0.00,7.25,Credit Card,101,688,206,161,649
1257,2016-12-3 18:45:00,2016-12-3 18:45:00,360,0.3,,534,7,8,5.00,0.00,0.00,0.00,5.00,Cash,3,618,407,454,453
5998,2016-12-16 07:15:00,2016-12-16 07:45:00,1800,18.4,,313,32,76,45.00,11.25,0.00,0.00,56.25,Credit Card,82,64,231,225,6
2538,2016-12-31 17:15:00,2016-12-31 17:15:00,540,0,,792,8,8,6.75,0.00,0.00,1.00,7.75,Cash,107,170,351,419,615
5856,2016-12-29 18:45:00,2016-12-29 19:00:00,300,0,,334,8,8,5.25,0.00,0.00,1.50,6.75,Cash,107,767,733,294,113
6591,2016-12-22 22:45:00,2016-12-22 23:00:00,480,1.7,,1077,8,7,7.75,0.00,0.00,0.00,7.75,Cash,107,294,113,724,47
6710,2016-12-7 23:15:00,2016-12-7 23:45:00,1200,1,,970,76,8,43.00,11.75,0.00,4.00,58.75,Credit Card,107,225,6,210,470
3514,2016-12-9 09:15:00,2016-12-9 09:30:00,600,0,,504,7,32,10.75,0.00,0.00,0.00,10.75,Cash,8,618,407,744,605
4126,2016-12-1 22:15:00,2016-12-1 22:15:00,720,2.9,,1077,28,7,11.00,2.20,0.00,0.00,13.20,Credit Card,101,411,545,724,47
1369,2016-12-20 15:15:00,2016-12-20 15:45:00,2160,17.4,,313,32,76,43.50,0.00,0.00,0.00,43.50,Cash,10,18,610,225,6
3018,2016-12-14 21:00:00,2016-12-14 21:00:00,240,1.1,,16,28,32,5.75,1.00,0.00,0.00,6.75,Credit Card,101,411,545,18,610
5687,2016-12-6 12:45:00,2016-12-6 13:00:00,900,0.1,,807,32,28,10.00,0.00,0.00,0.00,10.00,Cash,107,744,605,411,545
2643,2016-12-1 23:45:00,2016-12-1 23:45:00,180,0,,970,8,8,4.25,0.00,0.00,0.00,4.25,Cash,107,210,470,210,470
4359,2016-12-13 19:00:00,2016-12-13 19:15:00,780,0,,16,32,32,7.50,0.00,0.00,1.50,9.00,Cash,107,18,610,18,610
5114,2016-12-13 18:15:00,2016-12-13 19:30:00,5100,0,,805,76,8,48.75,6.00,0.00,4.00,58.75,Credit Card,107,225,6,526,511
