taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
5400,2016-12-16 08:45:00,2016-12-16 09:00:00,300,0,,787,8,8,5.25,2,0,0,7.25,Credit Card,101,41.890922026,-87.618868355,41.898331794,-87.620762865
1257,2016-12-03 18:45:00,2016-12-03 18:45:00,360,0.3,,534,7,8,5,0,0,0,5,Cash,3,41.914616286,-87.631717366,41.90749193,-87.63576009
5998,2016-12-16 07:15:00,2016-12-16 07:45:00,1800,18.4,,313,32,76,45,11.25,0,0,56.25,Credit Card,82,41.877406123,-87.621971652,41.97907082,-87.903039661
2538,2016-12-31 17:15:00,2016-12-31 17:15:00,540,0,,792,8,8,6.75,0,0,1,7.75,Cash,107,41.892072635,-87.628874157,41.89321636,-87.63784421
5856,2016-12-29 18:45:00,2016-12-29 19:00:00,300,0,,334,8,8,5.25,0,0,1.5,6.75,Cash,107,41.900265687,-87.63210922,41.899155613,-87.626210532
6591,2016-12-22 22:45:00,2016-12-22 23:00:00,480,1.7,,1077,8,7,7.75,0,0,0,7.75,Cash,107,41.899155613,-87.626210532,41.922082541,-87.634156093
6710,2016-12-07 23:15:00,2016-12-07 23:45:00,1200,1,,970,76,8,43,11.75,0,4,58.75,Credit Card,107,41.97907082,-87.903039661,41.892507781,-87.626214906
3514,2016-12-09 09:15:00,2016-12-09 09:30:00,600,0,,504,7,32,10.75,0,0,0,10.75,Cash,8,41.914616286,-87.631717366,41.884987192,-87.620992913
4126,2016-12-01 22:15:00,2016-12-01 22:15:00,720,2.9,,1077,28,7,11,2.2,0,0,13.2,Credit Card,101,41.879255084,-87.642648998,41.922082541,-87.634156093
1369,2016-12-20 15:15:00,2016-12-20 15:45:00,2160,17.4,,313,32,76,43.5,0,0,0,43.5,Cash,10,41.880994471,-87.632746489,41.97907082,-87.903039661
3018,2016-12-14 21:00:00,2016-12-14 21:00:00,240,1.1,,16,28,32,5.75,1,0,0,6.75,Credit Card,101,41.879255084,-87.642648998,41.880994471,-87.632746489
5687,2016-12-06 12:45:00,2016-12-06 13:00:00,900,0.1,,807,32,28,10,0,0,0,10,Cash,107,41.884987192,-87.620992913,41.879255084,-87.642648998
2643,2016-12-01 23:45:00,2016-12-01 23:45:00,180,0,,970,8,8,4.25,0,0,0,4.25,Cash,107,41.892507781,-87.626214906,41.892507781,-87.626214906
4359,2016-12-13 19:00:00,2016-12-13 19:15:00,780,0,,16,32,32,7.5,0,0,1.5,9,Cash,107,41.880994471,-87.632746489,41.880994471,-87.632746489
5114,2016-12-13 18:15:00,2016-12-13 19:30:00,5100,0,,805,76,8,48.75,6,0,4,58.75,Credit Card,107,41.97907082,-87.903039661,41.902788048,-87.62614559
3465,2016-12-30 12:45:00,2016-12-30 12:45:00,240,0,,498,8,8,5,0,0,1,6,Cash,8,41.89503345,-87.619710672,41.891971508,-87.612945414
2643,2016-12-07 17:30:00,2016-12-07 18:30:00,3540,0,,411,76,8,42.75,6,0,4,52.75,Credit Card,107,41.97907082,-87.903039661,41.909495669,-87.630963601
4705,2016-12-08 10:45:00,2016-12-08 11:00:00,660,1.3,,16,8,32,8,2,0,2,12,Credit Card,107,41.892507781,-87.626214906,41.880994471,-87.632746489
6043,2016-12-14 19:00:00,2016-12-14 19:30:00,1680,2,,225,28,8,14,0,0,0,14,Cash,101,41.879255084,-87.642648998,41.892042136,-87.63186395
